WW004-G,"HARRISON, JOHN","Creepshow (1982 Original Soundtrack, Deep Red with Blue Smoke Colour)",Light In The Attic,Soundrack,,728028451191,LP , $41.17 ,Sep-17
00116-1308-2,HAUSCHKA,Ferndorf,SD / FatCat Records,Rock-Pop,,600116130822,CD, $12.00 ,IMMEDIATE
LITA087,"HAZELWOOD, LEE",A House Safe For Tigers,Light In The Attic,Pop,,826853008716,LP, $25.85 ,Aug-12
LITA096,"HAZLEWOOD, LEE",Trouble In A Lonesome Town,Light In The Attic,Rock-Pop,,826853009614,2xLP, $23.93 ,Mar-13
LITA061,"HURLEY, MICHAEL",Have Moicy!,Light In The Attic,Folk,,826853006118,LP, $22.55 ,Apr-11
LITA062,"HURLEY, MICHAEL",Long Journey,Light In The Attic,Folk,,826853006217,LP, $22.55 ,Apr-11
LITA063,"HURLEY, MICHAEL",Snockgrass,Light In The Attic,Folk,,826853006316,LP, $22.55 ,May-11
SBR022,"JESUS, ZOLA",The Spoils,SD / Sacred Bones,Rock/Alternative,,656605432212,LP, $16.00 ,IMMEDIATE
LITA050,"KRISTOFFERSON, KRIS","Please Don't Tell Me How The Story Ends: The Publishing Demos 1968-72 [180g, gatefold, liner notes feat. new interviews with Kris & others, testimonials from Dennis Hopper & Merle Haggard, full lyrics & track-by-track notes from Kris]",Light In The Attic,Country ,,826853005012,LPx2, $32.45 ,May-10
MET1016,"LEGENDARY PINK DOTS, THE",Pages of Aquarius,Metropolis,Rock-Pop / Psychedelic,,782388101615,LPx2, $32.00 ,Apr-16
LITA074,"LOUVIN BROTHERS, THE",Handpicked Songs 1955-1962,Light In The Attic,Country,,826853007412,LP, $23.50 ,Nov-11
26853-0042-2,MONKS,Black Monk Time,Light In The Attic,Rock-Pop / Garage,,826853004220,CD, $15.62 ,Oct-09
BRM0001,"MORELAND, GWYNETH","Ceilings, Floors & Open Doors [Blue]",There Records,Folk,,040232405150,LP, $17.20 ,IMMEDIATE
FDR630,"MOSES, LEE",Time & Place,Light In The Attic,Soul,, 826853063012 ,LP, $27.50 ,Aug-16
83888-0021-2,OFF!,First Four Eps,VICE Music,Punk,,883888002126,CD, $11.00 ,Feb-11
26853-7933-2,OST,Assault On Precinct 13 [John Carpenter],Light In The Attic / Death Waltz,Soundtrack,,826853793322,CD, $14.25 ,Nov-13
CINE806,OST,Jodorowsky's Dune [Kurt Stenzel],Light In The Attic / Cinewax,Score,,826853080613,2xLP, $31.35 ,Nov-15
LNRS001,OST,Street Trash [Original Motion Picture Soundtrack] [Rick Ulfik],Light In The Attic / Lunaris,Score,,612524705844,LP, $32.45 ,Aug-14
MOND083,OST,Gremlins (Jerry Goldsmith),Light In The Attic,Soundtrack,,616892444442,LPX2, $53.50 ,Dec-16
WW012,OST,Nosferatu The Vampyre [Popol Vuh],Light In The Attic / WaxWork,Horror Score,,728028399813,2xLP, $48.40 ,IMMEDIATE
SD001,OST,Surf Nazis Must Die Original 1987 Motion Picture Score [Jon Mccallum],Light In The Attic / Strange Disc,Horror Score,,826853749114,LP, $28.61 ,Sep-14
26853-0080-2,"RENE, WENDY",After Laughter Comes Tears - Complete Stax & Volt Singles & Rarities 1964-65,Light In The Attic,Soul,,826853008020,CD, $14.58 ,Feb-12
MCR905,SEEFEEL,Quique ,Light In The Attic / Modern Classics,Rock-Pop,,826853090612,LPx2, $32.45 ,Sep-13
26853-0053-2,"SZABO, GABOR",Jazz Raga,Light In The Attic,Jazz,,826853005326,CD, $15.62 ,Jun-10
LITA086,THIN LIZZY,Thin Lizzy,Light In The Attic,Rock,,826853008617,LP, $24.56 ,Jul-12
CST065,TINDERSTICKS,Falling Down A Mountain,Constellation Records,Rock/Alternative,,666561006518,LP (180 gram), $14.25 ,IMMEDIATE
LITA091,"VALLE, MARCOS",Garra,Light In The Attic,Bossa Nova,,826853009119,LP, $25.85 ,Jan-13
LITA093,"VALLE, MARCOS",Previsao Do Tempo,Light In The Attic,Bossa Nova,,826853009317,LP, $23.93 ,Feb-13
26853-0083-2,VARIOUS ARTISTS,Country Funk,Light In The Attic,Country-Funk,,826853008327,CD, $15.62 ,Jul-12
26853-0156-2,VARIOUS ARTISTS,Even A Tree Can Shed Tears Japanese Folk & Rock 1969-1973,Light In The Attic,World/Folk,,826853015622,CD, $17.70 ,Oct-17
IMAR111LP,VARIOUS ARTISTS,Hillbilies In Hell Vol. 5,Light In The Attic / Iron Mountain Analog Research,Country,,934334406927,LP, $28.50 ,Feb-18
LITA156,VARIOUS ARTISTS,Even A Tree Can Shed Tears Japanese Folk & Rock 1969-1973,Light In The Attic,World/Folk,,826853015615,LPX2, $34.27 ,Oct-17
80615-8066-1,"VAUGHAN, ANDREW",John Hartford: Pilot of a Steam Powered Aereo-plain (Hardcover Book + CD),Compass Records / Stuffworks Press,Book,,9780615806617,CD+Book, $30.00 ,Sep-13
LITA126,"VEGA, ALAN, CHILTON, ALEX & VAUGHN, BEN",Cubist Blues,Light In The Attic,Rock-Pop,,826853012614,2xLP, $28.61 ,Dec-15
