MI0465,"CORNSHED SISTERS, THE",Honey & Tar,Redeye / Memphis Industries,Folk,,5060146097628,LP,20.93,2017
60248-8302-9,DANAKIL,Entre les lignes,Baco Records,Rock-Pop,,3760248830292,CD,12.95,2017
60248-8303-5,DANAKIL,La rue raisonne,Baco Records,Rock-Pop,,3760248830353,CD,12.95,2017
60248-8303-1,DANAKIL,Entre les lignes Dub,Baco Records,Reggae / Dub,,3760248830315,CD,12.95,2017
DG135,"DEGENERICS, THE",Generica,Redeye / Don Giovanni,Rock-Pop,,634457755413,LP,31.86,2017
PRC340,DIANE COFFEE,Peel ,Polyvinyl,Rock-Pop / Crossfile: Foxygen,,644110034076,"7""",9.61,2017
44667-0391-9,"ELMES, BARRY (QUINTET)",Dog's Breakfast,Cornerstone Records,Jazz,,844667039191,CD,11.50,2017
56605-3946-2,FOUR TET,New Energy,SD / Temporary Residence Ltd,Electronic,,656605394626,CD,12.00,2017
TEXT046CS,FOUR TET,New Energy,SD / Temporary Residence Ltd,Electronic,,656605394640,CS,8.00,2017
89749-5563-3,LES POULES a COLIN,Morose,FamGroup,Folk / Traditional,Canadian,689749556339,CD,9.83,2017
LAB011-1,"MELIGROVE BAND, THE",Planets Conspire,Label Obscura,Rock-Pop,Canadian,623339206310,"12""x2",16.38,2017
LAB012-1,"NILS, THE ",The Nils,Label Obscura,Rock-Pop,Canadian,623339206518,LP,13.75,2017
BIS019,PALMBOMEN II,Palmbomen II,SD / RVNG Int'l,Electronic,,700064952689,LPx2,15.00,2017
M6624,PARCELS,Overnight,Believe / Kitsune,Funk / Rock-Pop,,3700187666248,"12"" ",13.00,2017
MAG701,PHENOMENAL HANDCLAP BAND,Traveler's Prayer b/w Stepped Into The Light,Redeye / Magnifreeq,Soul / Funk / R & B,,623339207218,"7""",6.95,2017
MMG12,POLLYN,Anthology: Here Lies Pollyn (2003-2016),Light in the Attic / Music! Music Group,Electronic,,5053760030706,LPx3,51.25,2017
TCLR025,PROJECT PABLO,Hope You're Well,Ninja Tune / Technicolour,Electronic / Dance,Canadian - Montreal,5054429119503,"12"" EP",12.00,2017
K7354LP,RETO A ICHI (AKA Prefuse 73),The Lapse Of The Exchange,!K7,Electronic,,730003735417,LP,22.00,2017
THRILL039,"SEA AND CAKE, THE",The Fawn,Thrill Jockey,Rock / Pop,,790377003918,LP,18.67,2017
THRILL086,"SEA AND CAKE, THE",Oui,Thrill Jockey,Rock / Pop,,790377008616,LP,18.67,2017
THRILL116,"SEA AND CAKE, THE",One Bedroom,Thrill Jockey,Rock / Pop,,790377011616,LP,18.67,2017
63663-0022-9,THROANE,Plus Une Main A Mordre,Thrill Jockey,Black Metal,,3663663002292,CD,16.53,2017
DMP0153LP,THROANE,Plus Une Main A Mordre,Thrill Jockey,Black Metal,,634457797512,LP,27.67,2017
GI211lLP-C1,TOBACCO,Ultima II Massage (yellow vinyl),SD / Ghostly Int'l,Electronic,,623339207317,LPx2,13.00,2017
BBE415CLP,VARIOUS ARTISTS,If Music Presents - You Need This! An Introduction to Black Saint & Soul Note Records (1975-1985),!K7 / BBE,Jazz,,730003141515,LPx3,26.00,2017
STRUT107LP,VARIOUS ARTISTS,Trevor Jackson presents Metal Dance 2 (reissue),!K7 / Strut,New Wave / Industrial,,730003310713,LPx2+CD,25.00,2017
STRUT059LP,VARIOUS ARTISTS,Afro Rock Volume One (reissue),!K7 / Strut,World / Afro-Beat,,730003305917,LPx2,25.00,2017
29337-7213-2,VARIOUS ARTISTS,"One World, Many Voices: A Native American Music Collection",Canyon Records,First Nations,,729337721326,CD,12.90,2017
63663-0022-8,VASSAFOR,Malediction,Thrill Jockey,Black Metal,,3663663002285,CD,15.65,2017
54429-1198-1,VISIONIST,Value,Ninja Tune / Big Dada,Electronic,,5054429119817,CD,12.70,2017
BD284X,VISIONIST,Value  (180g gold vinyl),Ninja Tune / Big Dada,Electronic,INDIE ONLY,5054429119800,LP,20.00,2017
BD284,VISIONIST,Value (180g black vinyl),Ninja Tune / Big Dada,Electronic,,5054429119794,LP,20.00,2017
PR060,WHIMM,A Stare Ajar,Pleasence Records,Post Punk,Canadian,734463100396,"12""",12.65,2017
56605-4104-2,AKIRA SAKATA & CHIKAMORACHI,Proton Pump,SD / Family Vineyard,Jazz / Experimental,,656605410425,CD,12.00,2017
FV104,AKIRA SAKATA & CHIKAMORACHI,Proton Pump,SD / Family Vineyard,Jazz / Experimental,,656605410418,LP,16.00,2017
32375-7311-2,"ALEXANDER, ERIC",Songs of No Regrets,HighNote,Jazz,,632375731120,CD,13.75,2017
TAR055,"ASKEW, ED",Art And Life,Tin Angel Records,Folk,,5052442011125,LP,17.56,2017
52442-0111-1,"ASKEW, ED",Art And Life,Tin Angel Records,Folk,,5052442011118,CD,11.00,2017
FUM068,BLACKIE & THE RODEO KINGS,Kings & Kings,File Under: Music,Rock-Pop,,875531013627,LP,14.75,2017
DOC120,CALIFONE,Heron King Blues (Deluxe Reissue),SD / Dead Oceans,Rock-Pop,,656605142012,LPx2,19.00,2017
